ABE,57.13,3.35
ABN,57.14,3.41
ABW,57.12,3.38
ACN,57.29,5.15
ALD,57.52,4.41
BAG,56.54,3.14
BALL,56.58,3.19
BAM,57.03,3.53
CCC,56.25,4.42
COUL,57.32,5.21
CRF,57.08,3.49
CNE,57.08,3.46
DRM,56.38,3.21
GAF,57.17,4.55
GDE,57.01,3.34
GDN,57.03,3.35
GDW,57.01,3.35
GFE,57.05,3.52
GLE,57.02,3.28
GLF,56.22,4.39
GLG,57.03,4.56
GLW,57.03,3.31
GOS,56.27,4.53
GRD,57.38,5.25
GRN,57.10,3.39
GTA,57.01,2.50
HRN,57.07,5.27
INV,57.00,3.31
LEA,57.09,3.49
LGN,57.08,3.50
LMA,57.37,5.21
LOY,57.09,5.05
LUI,57.01,3.36
MAL,56.59,3.30
MEG,56.34,4.20
MOR,57.09,3.41
PNB,57.00,3.28
QUO,57.01,3.30
RAN,56.40,4.19
RDH,57.54,4.59
RYV,57.10,3.39
SHD,57.30,5.37
UGF,56.59,3.52
